CITY,DISTRICT,GEOCODE,DAYTIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
高雄市,鳳山區,6401200,2019-05-13 00:00:00,26,24,88,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 03:00:00,26,24,91,偏北風,1,<= 1,29,晴,01,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 06:00:00,25,23,89,西北風,1,<= 1,28,晴,01,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 09:00:00,28,25,84,偏西風,2,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 12:00:00,31,28,84,偏西風,2,2,36,晴,01,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 15:00:00,31,26,75,偏西風,2,<= 1,35,晴,01,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 18:00:00,29,25,78,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,鳳山區,6401200,2019-05-13 21:00:00,27,24,84,西南風,1,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 00:00:00,27,26,94,偏北風,1,<= 1,32,晴,01,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 03:00:00,26,25,94,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 06:00:00,26,24,91,西北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 09:00:00,29,26,87,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 12:00:00,30,28,89,西南風,2,<= 1,35,晴,01,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 15:00:00,30,28,86,西南風,2,<= 1,35,晴,01,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 18:00:00,29,26,86,西南風,1,<= 1,33,多雲,04,0,0,2019-05-12
高雄市,林園區,6401300,2019-05-13 21:00:00,28,26,89,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 00:00:00,27,25,92,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 03:00:00,26,25,94,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 06:00:00,25,24,92,西北風,1,<= 1,29,晴,01,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 09:00:00,28,26,86,偏西風,2,<= 1,33,多雲,04,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 12:00:00,31,28,86,偏西風,2,2,36,晴,01,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 15:00:00,31,27,78,偏西風,1,<= 1,35,晴,01,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 18:00:00,29,25,81,西南風,1,<= 1,33,多雲,04,0,0,2019-05-12
高雄市,大寮區,6401400,2019-05-13 21:00:00,27,25,86,西南風,1,<= 1,31,多雲,04,0,0,2019-05-12
